school1,school2,result,score1,score2
Abilene Christian,Utah,0,56,70
Abilene Christian,Texas A&M,1,80,81
Abilene Christian,UT Arlington,1,80,71
Abilene Christian,McMurry,1,89,54
Abilene Christian,Schreiner,1,88,47
Abilene Christian,Dallas,1,108,65
Abilene Christian,Incarnate Word,1,98,65
Abilene Christian,Drexel,1,73,56
Abilene Christian,Cal State Bakersfield,1,69,59
Abilene Christian,Howard Payne,1,112,41
Abilene Christian,Longwood,1,74,58
Abilene Christian,Utah Valley,1,80,76
Abilene Christian,Dixie State,1,64,50
Abilene Christian,Stephen F. Austin,0,58,64
Abilene Christian,Sam Houston State,0,63,65
Abilene Christian,Grand Canyon,0,68,95
Abilene Christian,New Mexico State,0,63,77
Abilene Christian,Seattle,0,62,72
Abilene Christian,California Baptist,1,77,68
Abilene Christian,Texas-Rio Grande Valley,1,87,85
Abilene Christian,Lamar,1,85,82
Abilene Christian,Chicago State,1,77,73
Abilene Christian,Texas-Rio Grande Valley,1,83,66
Abilene Christian,Tarleton State,1,77,63
Abilene Christian,Sam Houston State,1,71,75
Abilene Christian,Lamar,1,77,42
Abilene Christian,Stephen F. Austin,0,71,73
Abilene Christian,Dixie State,1,80,64
Abilene Christian,Tarleton State,1,61,56
Abilene Christian,Utah Valley,1,82,74
Abilene Christian,Stephen F. Austin,1,76,62
Abilene Christian,Seattle,1,78,76
Abilene Christian,New Mexico State,0,52,66
Air Force,South Dakota,0,53,59
Air Force,Tulsa,1,59,58
Air Force,Texas Southern,1,61,57
Air Force,Holy Cross,1,72,53
Air Force,Bethune-Cookman,1,73,65
Air Force,Denver,1,66,65
Air Force,Idaho State,1,59,48
Air Force,Army,1,76,58
Air Force,Montana,0,48,66
Air Force,Arkansas State,0,46,68
Air Force,Tarleton State,0,45,67
Air Force,Utah State,1,49,47
Air Force,Colorado State,0,59,67
Air Force,Nevada,0,68,75
Air Force,Boise State,0,56,62
Air Force,UNLV,1,69,62
Air Force,Colorado State,0,53,73
Air Force,San Jose State,1,63,53
Air Force,Wyoming,0,61,63
Air Force,Utah State,0,46,73
Air Force,New Mexico,0,77,91
Air Force,UNLV,0,44,78
Air Force,San Diego State,0,64,76
Air Force,Boise State,0,59,85
Air Force,Wyoming,0,67,75
Air Force,Fresno State,0,40,65
Air Force,New Mexico,0,65,69
Air Force,San Jose State,1,58,54
Air Force,Utah State,0,56,83
Akron,Ohio State,0,66,67
Akron,Point Park,1,102,46
Akron,Wheeling Jesuit,1,99,38
Akron,Fordham,0,43,63
Akron,Appalachian State,0,45,57
Akron,Evansville,1,69,60
Akron,Marshall,1,88,86
Akron,Southern,1,79,62
Akron,Florida A&M,1,73,66
Akron,Wright State,1,66,48
Akron,Buffalo,1,88,76
Akron,Ohio,0,63,69
Akron,Ball State,1,84,74
Akron,Kent State,0,55,67
Akron,Western Michigan,1,74,73
Akron,Bowling Green State,1,91,66
Akron,Eastern Michigan,1,46,44
Akron,Central Michigan,1,60,56
Akron,Toledo,0,76,84
Akron,Miami (OH),1,66,55
Akron,Miami (OH),1,71,59
Akron,Northern Illinois,1,70,64
Akron,Kent State,0,64,66
Akron,Western Michigan,1,57,61
Akron,Northern Illinois,0,63,66
Akron,Eastern Michigan,1,67,48
