School,Link Name,W-L%,SRS,SOS,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%
Abilene Christian,abilene-christian,.697,2.70,-2.06,71.8,104.7,.374,.357,.537,48.0,56.6,15.1,6.3,.492,14.9,29.2
Air Force,air-force,.379,-5.14,1.87,63.4,93.1,.268,.435,.528,44.6,57.7,8.6,9.1,.509,19.6,19.6
Akron,akron,.727,0.83,-4.30,64.3,110.3,.397,.419,.566,53.1,48.6,9.1,9.3,.536,15.4,30.7
Alabama A&M,alabama-am,.400,-14.24,-8.67,68.3,88.5,.335,.249,.459,48.8,43.4,10.1,8.8,.413,16.9,28.7
UAB,alabama-birmingham,.794,11.13,-0.68,70.6,113.1,.285,.332,.560,53.2,43.7,13.5,11.9,.531,13.7,33.9
Alabama State,alabama-state,.323,-11.86,-5.26,71.4,96.7,.378,.330,.520,48.3,49.7,10.5,9.6,.481,18.7,29.7
Alabama,alabama,.594,15.51,11.95,73.3,108.7,.336,.480,.550,52.5,52.9,9.5,11.9,.515,16.7,35.6
Albany (NY),albany-ny,.419,-9.70,-5.67,65.8,93.6,.250,.323,.492,48.4,40.9,10.2,7.5,.462,16.4,26.1
Alcorn State,alcorn-state,.515,-8.77,-4.44,69.0,95.9,.331,.295,.496,51.0,42.5,10.8,7.6,.459,17.2,31.5
American,american,.313,-15.29,-7.82,66.8,94.2,.256,.280,.521,48.1,49.9,9.7,8.3,.496,18.0,21.6
Appalachian State,appalachian-state,.576,-0.95,-1.15,65.3,102.0,.267,.427,.511,50.4,51.7,8.6,6.7,.488,13.4,27.6
Arizona State,arizona-state,.452,8.17,10.01,67.9,94.7,.212,.372,.492,47.2,53.4,9.7,12.4,.471,15.2,24.9
Arizona,arizona,.912,24.00,6.97,72.9,115.5,.351,.357,.590,55.2,65.4,9.2,13.4,.559,15.5,34.5
Little Rock,arkansas-little-rock,.321,-11.71,-0.39,68.0,96.3,.325,.379,.524,47.3,55.9,10.0,6.3,.485,17.8,24.6
Arkansas-Pine Bluff,arkansas-pine-bluff,.226,-18.74,-4.36,69.2,95.4,.345,.407,.510,43.9,50.1,10.3,6.4,.470,16.8,24.7
Arkansas State,arkansas-state,.621,-2.99,-3.22,69.5,101.5,.332,.306,.537,51.5,60.7,11.3,8.5,.498,17.4,29.8
Arkansas,arkansas,.758,16.52,8.12,72.1,106.0,.379,.343,.538,52.5,52.9,10.6,11.9,.492,15.0,30.8
Army,army,.484,-10.46,-7.46,69.9,99.9,.316,.355,.516,51.3,48.4,11.1,5.3,.494,16.2,30.0
Auburn,auburn,.844,20.40,8.72,71.4,108.5,.316,.399,.538,52.2,52.2,12.1,21.1,.503,14.2,33.1
Austin Peay,austin-peay,.414,-9.71,-3.08,66.1,96.5,.266,.443,.508,48.6,58.6,9.6,6.1,.478,18.0,29.5
Ball State,ball-state,.452,-7.59,-4.16,71.6,103.4,.374,.412,.549,49.6,51.8,8.4,7.0,.516,17.1,27.1
Baylor,baylor,.813,21.89,9.01,68.5,111.2,.285,.377,.553,53.7,56.1,12.8,9.6,.529,15.3,36.3
Bellarmine,bellarmine,.606,-3.45,-0.97,63.8,109.5,.217,.409,.568,48.3,54.4,8.8,5.8,.545,13.3,23.7
Belmont,belmont,.781,7.02,-2.69,70.4,110.7,.269,.435,.586,50.2,62.4,13.0,10.9,.562,15.1,24.9
Bethune-Cookman,bethune-cookman,.300,-14.53,-6.53,67.4,93.3,.287,.252,.491,48.2,45.4,11.7,7.1,.459,17.1,28.4
Binghamton,binghamton,.414,-10.30,-6.07,67.3,100.1,.230,.356,.523,50.5,44.8,8.4,10.0,.504,16.3,27.2
Boise State,boise-state,.794,12.70,5.46,65.0,104.5,.350,.388,.540,53.9,47.1,9.0,9.9,.516,16.0,30.6
Boston College,boston-college,.394,3.67,4.85,65.5,100.7,.296,.324,.511,50.9,50.2,10.8,8.6,.478,15.4,30.0
Boston University,boston-university,.636,-4.56,-7.81,65.6,107.5,.291,.376,.556,53.5,43.0,8.7,6.8,.526,16.0,31.2
Bowling Green State,bowling-green-state,.419,-8.48,-4.10,74.4,107.1,.315,.371,.535,50.3,44.3,9.8,9.4,.498,14.1,30.7
Bradley,bradley,.548,6.24,1.64,68.1,103.2,.279,.397,.536,54.9,52.4,9.3,13.1,.511,17.1,32.1
Brigham Young,brigham-young,.688,10.23,5.63,69.0,106.0,.272,.370,.546,54.9,52.1,7.1,8.6,.518,15.9,31.0
Brown,brown,.448,-3.25,-1.85,69.7,101.8,.308,.393,.529,50.7,47.9,9.6,11.1,.497,16.4,29.4
Bryant,bryant,.710,-4.40,-7.46,72.7,106.3,.322,.435,.539,52.0,51.5,8.6,10.1,.504,16.1,33.3
Bucknell,bucknell,.281,-14.58,-6.33,68.3,101.8,.283,.376,.561,47.1,57.6,6.6,7.9,.528,17.5,21.4
Buffalo,buffalo,.633,2.21,-2.90,72.5,110.3,.260,.381,.545,55.0,50.6,9.8,10.8,.520,15.3,37.2
Butler,butler,.424,4.74,9.45,64.9,97.2,.304,.417,.512,49.1,48.5,7.9,7.0,.480,16.1,26.7
Cal Poly,cal-poly,.250,-10.13,-2.84,65.5,92.5,.368,.350,.505,51.3,49.7,7.1,7.0,.460,19.5,27.9
Cal State Bakersfield,cal-state-bakersfield,.321,-7.05,-1.49,65.6,98.9,.303,.231,.492,52.8,40.9,9.4,8.4,.456,15.1,33.6
Cal State Fullerton,cal-state-fullerton,.677,0.38,-2.52,67.3,104.5,.359,.302,.542,51.3,45.6,10.8,5.8,.497,15.9,29.7
Cal State Northridge,cal-state-northridge,.233,-11.57,-0.96,65.7,92.5,.293,.302,.481,46.0,40.6,10.8,7.5,.448,16.1,27.0
California Baptist,california-baptist,.545,-3.20,-3.20,69.5,101.7,.371,.431,.541,51.9,65.1,7.3,7.2,.512,17.6,28.5
UC Davis,california-davis,.542,-3.22,-3.81,67.9,99.3,.291,.321,.524,49.3,45.3,8.8,7.8,.493,16.2,26.0
UC Irvine,california-irvine,.600,2.07,-0.46,66.1,100.3,.296,.282,.527,53.0,44.8,9.1,9.4,.488,17.7,30.7
UC Riverside,california-riverside,.571,-0.47,-1.44,66.1,99.5,.268,.407,.536,52.1,54.6,7.8,3.3,.507,16.5,24.1
UC San Diego,california-san-diego,.448,-6.57,-3.32,68.5,102.0,.321,.456,.562,46.4,56.7,8.4,4.6,.528,16.7,18.5
UC Santa Barbara,california-santa-barbara,.607,1.81,-3.96,67.0,107.8,.374,.300,.574,53.2,58.0,9.1,7.7,.544,17.1,29.3
California,california,.375,4.49,7.49,64.9,96.4,.253,.316,.501,50.9,45.2,7.4,7.2,.469,15.1,25.3
Campbell,campbell,.552,-4.90,-5.82,63.9,102.7,.275,.369,.542,49.7,56.0,9.6,7.0,.519,14.6,22.2
Canisius,canisius,.344,-7.85,-2.63,69.6,97.6,.299,.397,.494,49.3,53.5,8.6,6.6,.461,14.6,28.5
Central Arkansas,central-arkansas,.355,-13.58,-1.44,73.0,99.4,.227,.352,.523,48.6,51.5,9.2,8.0,.493,16.3,27.4
Central Connecticut State,central-connecticut-state,.250,-17.29,-6.95,66.2,92.2,.291,.392,.495,46.6,49.3,9.3,6.3,.460,18.1,26.3
Central Florida,central-florida,.600,6.32,4.72,68.1,102.2,.285,.431,.528,49.7,58.8,10.2,10.9,.499,16.5,30.8
Central Michigan,central-michigan,.233,-12.08,-1.05,68.8,95.4,.305,.401,.509,46.6,49.7,9.1,9.0,.478,17.3,25.3
Charleston Southern,charleston-southern,.194,-17.68,-4.32,71.3,95.6,.304,.454,.507,50.0,49.8,9.1,8.1,.478,17.8,27.6
Charlotte,charlotte,.548,-1.49,-0.30,66.7,105.1,.280,.398,.564,49.0,55.4,7.2,8.0,.529,15.6,22.6
Chattanooga,chattanooga,.794,5.94,-1.38,66.0,112.5,.267,.394,.566,53.8,47.4,10.8,6.6,.537,14.3,32.7
Chicago State,chicago-state,.219,-13.88,-1.60,66.7,93.0,.294,.438,.487,48.3,43.3,8.2,6.4,.459,18.8,32.2
